"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fund_expenditure_type","fares_and_other_directly","fares_and_other_directly_1","taxes_fees_levied_by_transit","taxes_fees_levied_by_transit_1","local","local_questionable","state_1","state_questionable","federal","federal_questionable","total","total_questionable"
"Hoke County, dba: Hoke Area Transit Service","Raeford","NC","40209","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","12","Funds Expended on Operations","336705",,"0",,"774008",,"329569",,"117181",,"1557463",
"Craven County, dba: Craven Area Rural Transit System","New Bern","NC","40210","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","Funds Expended on Operations","239323",,"0",,"12188",,"393555",,"1110307",,"1755373",
"Craven County, dba: Craven Area Rural Transit System","New Bern","NC","40210","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","Funds Expended on Capital","0",,"0",,"11764",,"93994",,"40689",,"146447",
"Autauga County, dba: Autauga County Rural Transportation","Prattville","AL","40213","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","58600","Montgomery, AL","254348","11","Funds Expended on Operations","31836",,"0",,"489580",,"0",,"333119",,"854535",
"Autauga County, dba: Autauga County Rural Transportation","Prattville","AL","40213","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","58600","Montgomery, AL","254348","11","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Cabarrus County, dba: Cabarrus County Transportation","Concord","NC","40214","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","21","Funds Expended on Capital","113692",,"0",,"71341",,"407338",,"0",,"592371",
"Cabarrus County, dba: Cabarrus County Transportation","Concord","NC","40214","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","21","Funds Expended on Operations","1710",,"0",,"1995867",,"266239",,"173792",,"2437608",
"Union County, dba: Union County Transportation","Monroe","NC","40215","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","23","Funds Expended on Capital","0",,"0",,"336381",,"0",,"954051",,"1290432",
"Union County, dba: Union County Transportation","Monroe","NC","40215","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","23","Funds Expended on Operations","814",,"0",,"930186",,"312693",,"1395886",,"2639579",
"Rowan County","Salisbury","NC","40217","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","22","Funds Expended on Capital","0",,"0",,"387023",,"267894",,"1592230",,"2247147",
"Rowan County","Salisbury","NC","40217","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","22","Funds Expended on Operations","7906",,"0",,"1173109",,"286822",,"343106",,"1810943",
"City of La Grange, dba: Oldham's Public Bus","La Grange","KY","40218","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Operations","4665",,"0",,"6268",,"0",,"165599",,"176532",
"City of La Grange, dba: Oldham's Public Bus","La Grange","KY","40218","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Pitt County, dba: Pitt Area Transit System","Greenville","NC","40220","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35380","Greenville, NC","120150","16","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Pitt County, dba: Pitt Area Transit System","Greenville","NC","40220","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35380","Greenville, NC","120150","16","Funds Expended on Operations","752543",,"0",,"0",,"105600",,"170094",,"1028237",
"Gaston County, dba: ACCESS Transportation","Gastonia","NC","40221","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32653","Gastonia, NC","176897","15","Funds Expended on Operations","266322",,"0",,"1044255",,"230291",,"167892",,"1708760",
"Gaston County, dba: ACCESS Transportation","Gastonia","NC","40221","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32653","Gastonia, NC","176897","15","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Wake County, dba: GoWake Access","Raleigh","NC","40222","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","73261","Raleigh, NC","1106646","43","Funds Expended on Capital","0",,"0",,"0",,"616903",,"0",,"616903",
"Wake County, dba: GoWake Access","Raleigh","NC","40222","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","73261","Raleigh, NC","1106646","43","Funds Expended on Operations","3960553",,"846768",,"0",,"1246841",,"4829601",,"10883763",
"Cumberland County, dba: Cumberland County Community Transportation Program","Fayetteville","NC","40223","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","15","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Cumberland County, dba: Cumberland County Community Transportation Program","Fayetteville","NC","40223","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","15","Funds Expended on Operations","46520",,"0",,"6756",,"698794",,"414469",,"1166539",
"Buncombe County, dba: Mountain Mobility","Asheville","NC","40224","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03358","Asheville, NC","285776","26","Funds Expended on Operations","790860",,"0",,"2321665",,"427840",,"869487",,"4409852",
"Buncombe County, dba: Mountain Mobility","Asheville","NC","40224","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03358","Asheville, NC","285776","26","Funds Expended on Capital","7590",,"0",,"4385",,"99747",,"3718",,"115440",
"Alamance County Transportation Authority","Burlington","NC","40225","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","11728","Burlington, NC","145311","27","Funds Expended on Capital","16850",,"0",,"6512",,"210244",,"0",,"233606",
"Alamance County Transportation Authority","Burlington","NC","40225","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","11728","Burlington, NC","145311","27","Funds Expended on Operations","0",,"0",,"773076",,"305270",,"1023430",,"2101776",
"Mountain Projects, Inc., dba: Haywood Public Transit","Waynesville","NC","40226","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","Funds Expended on Capital","0",,"0",,"11472",,"11472",,"91780",,"114724",
"Mountain Projects, Inc., dba: Haywood Public Transit","Waynesville","NC","40226","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","Funds Expended on Operations","285403",,"0",,"140725",,"181634",,"307400",,"915162",
"Onslow United Transit System","Jacksonville","NC","40227","Private-Non-Profit Corporation","Reduced Reporter","2024","42400","Jacksonville, NC","111224","20","Funds Expended on Operations","1221708",,"0",,"0",,"322173",,"263892",,"1807773",
"Onslow United Transit System","Jacksonville","NC","40227","Private-Non-Profit Corporation","Reduced Reporter","2024","42400","Jacksonville, NC","111224","20","Funds Expended on Capital","0",,"0",,"31449",,"283042",,"0",,"314491",
"Mecklenburg County, dba: Mecklenburg Transportation System","Charlotte","NC","40228","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","15670","Charlotte, NC--SC","1379873","148","Funds Expended on Capital","0",,"0",,"240631",,"0",,"755007",,"995638",
"Mecklenburg County, dba: Mecklenburg Transportation System","Charlotte","NC","40228","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","15670","Charlotte, NC--SC","1379873","148","Funds Expended on Operations","1494229",,"0",,"3302757",,"7432657",,"4137971",,"16367614",
"Henderson County, dba: Apple Country Public Transit","Hendersonville","NC","40229","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03358","Asheville, NC","285776","4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Henderson County, dba: Apple Country Public Transit","Hendersonville","NC","40229","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03358","Asheville, NC","285776","4","Funds Expended on Operations","35552",,"0",,"104495",,"162794",,"712706",,"1015547",
"Orange County, dba: Orange County Public Transit","Hillsborough","NC","40231","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","25228","Durham, NC","396118","19","Funds Expended on Operations","61545",,"0",,"2906852",,"359952",,"212537",,"3540886",
"Orange County, dba: Orange County Public Transit","Hillsborough","NC","40231","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","25228","Durham, NC","396118","19","Funds Expended on Capital","0",,"0",,"768488",,"0",,"614790",,"1383278",
"Central Florida Commuter Rail, dba: SunRail","Tallahassee","FL","40232","State Government Unit or Department of Transportation","Full Reporter","2024","65863","Orlando, FL","1853896","21","Funds Expended on Capital","0",,"0",,"7594663",,"31724117",,"20418519",,"59737299",
"Central Florida Commuter Rail, dba: SunRail","Tallahassee","FL","40232","State Government Unit or Department of Transportation","Full Reporter","2024","65863","Orlando, FL","1853896","21","Funds Expended on Operations","3870053",,"0",,"0",,"48948143",,"26291910",,"79110106",
"City of Salisbury, dba: Salisbury Transit","Salisbury","NC","40233","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","5","Funds Expended on Capital","0",,"0",,"0",,"0",,"219537",,"219537",
"City of Salisbury, dba: Salisbury Transit","Salisbury","NC","40233","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","5","Funds Expended on Operations","84902",,"0",,"769156",,"182078",,"626757",,"1662893",
"Autonomous Municipality of Ponce, dba: SITRAS","Ponce","PR","40234","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70642","Ponce, PR","118345","28","Funds Expended on Capital","0",,"0",,"1491",,"0",,"392338",,"393829",
"Autonomous Municipality of Ponce, dba: SITRAS","Ponce","PR","40234","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70642","Ponce, PR","118345","28","Funds Expended on Operations","0",,"0",,"702928",,"0",,"1788315",,"2491243",
"Aiken Area Council on Aging, Inc.","Aiken","SC","40235","Area Agency on Aging","Reduced Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","22","Funds Expended on Operations","1448230",,"0",,"0",,"0",,"635439",,"2083669",
"Aiken Area Council on Aging, Inc.","Aiken","SC","40235","Area Agency on Aging","Reduced Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","22","Funds Expended on Capital","58679",,"0",,"0",,"0",,"0",,"58679",
"Lancaster County Council on Aging, dba: Lancaster Area Ride Service","Lancaster","SC","40237","Private-Non-Profit Corporation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","14","Funds Expended on Capital","26165",,"0",,"8805",,"0",,"17471",,"52441",
"Lancaster County Council on Aging, dba: Lancaster Area Ride Service","Lancaster","SC","40237","Private-Non-Profit Corporation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","14","Funds Expended on Operations","400068",,"0",,"102460",,"17233",,"160387",,"680148",
"City of Coconut Creek","Coconut Creek","FL","40238","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","3","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Coconut Creek","Coconut Creek","FL","40238","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","3","Funds Expended on Operations","0",,"0",,"807259",,"0",,"0",,"807259",
"City of Deerfield Beach, dba: Deerfield Beach Express Community Shuttle","Deerfield Beach","FL","40239","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
