"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fares","fares_questionable","park_and_ride","park_and_ride_questionable","concessions","concessions_questionable","advertising","advertising_questionable","other","other_questionable","purchased_transportation","purchased_transportation_1","total","total_questionable"
"Daniel Boone Development Council","Manchester","KY","41023","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"74","84002",,,,,,,,,,,,"84002",
"Mississippi Valley State University","Itta Bena","MS","41024","University","Rural Reporter","2024",,,,"17","2006",,,,,,,,"54307",,"0",,"56313",
"Bartow County, dba: Bartow County Transit","Cartersville","GA","41027","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","10","17904",,,,,,,,,,,,"17904",
"Scotland County","Laurinburg","NC","41028","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0",,,,,,,,"167812",,,,"167812",
"Ashe County Transportation Authority Inc","West Jefferson","NC","41029","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15","158532",,,,,,,,"621939",,,,"780471",
"Mississippi State University","Mississippi State","MS","41030","University","Rural Reporter","2024",,,,"41","0",,,,,,,,"377285",,"0",,"377285",
"Greene County","Snow Hill","NC","41031","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0",,,,,,,,"115924",,,,"115924",
"City of Maysville, dba: Maysville City Transit","Maysville","KY","41032","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","1723",,,,,,,,,,,,"1723",
"Towns County, dba: Towns County Transit","Hiawassee","GA","41033","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","12684",,,,,,,,,,"2064",,"14748",
"Beaufort County Developmental Center, Inc., dba: Beaufort Area Transit System","Washington","NC","41034","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","41373",,,,,,,,"995656",,,,"1037029",
"City of Cedartown, dba: Cedartown Transit","Cedartown","GA","41035","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","2374",,,,,,,,,,"0",,"2374",
"Suwannee River Economic Council, Inc.","Live Oak","FL","41037","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25","682784",,,,,,,,,,,,"682784",
"Hyde County Private Non-Profit Transp. Corp. Inc., dba: Hyde Transit","Swanquarter","NC","41038","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","7959",,,,,,,,"7661",,,,"15620",
"Northeast Mississippi Community Services","Booneville","MS","41039","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"42","57457",,,,,,,,"546525",,"0",,"603982",
"Greene County Commission, dba: Greene County Transit","Greensboro","GA","41041","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","16289",,,,,,,,,,"29597",,"45886",
"McCormick County Senior Center, dba: MAT Transit","Mc Cormick","SC","41042","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","533206",,,,,,,,"0",,"0",,"533206",
"Mitchell County Transportation Authority","Bakersville","NC","41043","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","42549",,,,,,,,"316715",,,,"359264",
"Community Development Inc.","Richton","MS","41044","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"27","1801",,,,,,,,"673626",,"0",,"675427",
"Dare County","Manteo","NC","41045","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","27040",,,,,,,,"16644",,,,"43684",
"Taliaferro County Board of Commissioners","Crawfordville","GA","41046","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","1770",,,,,,,,,,,,"1770",
"Kerr Area Transportation Authority, dba: Kerr Area Regional Transportation System","Henderson","NC","41048","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"37","195316",,,,,,,,"1680571",,,,"1875887",
"Suwannee Valley Transit Authority","Live Oak","FL","41050","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12","39428",,,,,,,,,,"20976",,"60404",
"Five County Child Development Program, Inc.","Prentiss","MS","41051","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","31229",,,,,,,,"328706",,"0",,"359935",
"City of Oxford","Oxford","MS","41052","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"34","0",,,,,,,,"0",,"0",,"0",
"Murray-Calloway County Transit Authority","Murray","KY","41053","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","52526",,,,,,,,,,,,"52526",
"McDuffie County Commission, dba: Leisure Services","Thomson","GA","41055","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","17056",,,,,,,,,,,,"17056",
"Dawson County, dba: Dawson Transit","Dawsonville","GA","41057","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","10308",,,,,,,,,,"70890",,"81198",
"Brunswick Transit System Inc.","Shallotte","NC","41058","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","6249",,,,,,,,"336281",,,,"342530",
"City of Key West, dba: Key West Transit","Key West","FL","41060","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","380701",,,,,,,,"259641",,,,"640342",
"Hancock County","Sparta","GA","41062","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","14822",,,,,,,,,,,,"14822",
"Moore County","Carthage","NC","41064","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","69517","Pinehurst--Southern Pines, NC","50319","9","293729",,,,,,,,"249088",,,,"542817",
"Twiggs County","Jeffersonville","GA","41065","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","5003",,,,,,,,,,,,"5003",
"Swain County Focal Point on Aging Inc, dba: Swain Public Transit","Bryson City","NC","41066","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","8657",,,,,,,,"102985",,,,"111642",
"Flagler County, dba: Flagler County Transportation","Bunnell","FL","41068","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","22612","Daytona Beach--Palm Coast--Port Orange, FL","402126","18","139215",,,,,,,,"45570",,,,"184785",
"Cherokee County","Murphy","NC","41069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","19440",,,,,,,,"216444",,,,"235884",
"Glascock County","Gibson","GA","41074","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","6526",,,,,,,,,,,,"6526",
"St. Clair County Commission, dba: St. Clair County Public Transportation","Ashville","AL","41076","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","103792",,,,,,,,,,,,"103792",
"Taylor County","Butler","GA","41077","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","6582",,,,,,,,,,"116269",,"122851",
"Morgan County","Madison","GA","41078","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","40148",,,,,,,,,,"96029",,"136177",
"Marion County Senior Services, dba: Marion Transit","Ocala","FL","41080","Private-Non-Profit Corporation","Reduced Reporter","2024","64567","Ocala, FL","182647","30","96936",,,,,,,,"17662",,"0",,"114598",
"Transp. Administration of Cleveland County. Inc","Shelby","NC","41082","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"18","0",,,,,,,,"795171",,,,"795171",
"City of Glasgow, dba: Glasgow Transit System","Glasgow","KY","41083","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0",,,,,,,,,,,,"0",
"Alabama Tombigbee Regional Planning Commission","Camden","AL","41084","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"15","13293",,,,,,,,"104653",,,,"117946",
"Haralson County","Buchanan","GA","41085","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","7097",,,,,,,,,,,,"7097",
"Catoosa County, dba: Trans-Aid","Ringgold","GA","41086","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15832","Chattanooga, TN--GA","398569","8","69750",,,,,,,,"0",,"0",,"69750",
"Forsyth County Board of Commissioners, dba: Access Forsyth","Cumming","GA","41088","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","13","81156",,,,,,,,,,,,"81156",
"City of Eufaula, dba: Eufaula Barbour Transit Authority","Eufaula","AL","41089","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","12872",,,,,,,,,,,,"12872",
"Louisville WHEELS Transportation, Inc","Louisville","KY","41090","Private-Non-Profit Corporation","Reduced Reporter","2024","51755","Louisville/Jefferson County, KY--IN","974397","22","1750",,,,,,,,"0",,"0",,"1750",
"Calhoun County Senior Citizens Association, Inc.","Blountstown","FL","41091","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","10382",,,,,,,,"3943",,,,"14325",
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze","Bluffton","SC","41092","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","08601","Bluffton East--Hilton Head Island, SC","71824","29","328714",,,,,,,,"144500",,,,"473214",
"Northeast KY Area Development Council","Olive Hill","KY","41094","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","39661",,,,,,,,,,,,"39661",
"Florida Department of Transportation","Tallahassee","FL","41095","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"37","390075",,,,,,,,,,,,"390075",
"Claiborne County Human Resource Agency","Port Gibson","MS","41096","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25","564334",,,,,,,,"202617",,"0",,"766951",
"Harlan County Community Action Agency, Inc.","Harlan","KY","41098","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"53","92493",,,,,,,,,,,,"92493",
"Telfair County","Mcrae Helena","GA","41099","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","360",,,,,,,,,,,,"360",
"City of Gatlinburg","Gatlinburg","TN","41102","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","9600",,,,,,,,"344248",,,,"353848",
"Wheeler County","Alamo","GA","41103","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","6155",,,,,,,,,,,,"6155",
"Talbot County","Talbotton","GA","41104","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","6567",,,,,,,,,,"113312",,"119879",
"Northwest Tennessee Human Resource Agency","Martin","TN","41106","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","134406",,,,,,,,"1798309",,,,"1932715",
"Chilton County Commission, dba: Chilton County Transit","Clanton","AL","41107","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","18187",,,,,,,,"0",,"0",,"18187",
"Lower Chattahoochee Regional Transit Authority, dba: Pataula Transit","Morris","GA","41108","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","37551",,,,,,,,,,"709832",,"747383",
"Albemarle Regional Health Services, dba: Inter-County Public Transportation Authority","Elizabeth City","NC","41111","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0",,,,,,,,"568632",,,,"568632",
"Coastal Regional Commission, dba: Coastal Regional Coaches","Darien","GA","41112","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"59","136537",,,,,,,,,,"1164727",,"1301264",
"Anson County","Wadesboro","NC","41113","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","29255",,,,,,,,"320740",,,,"349995",
"Nassau Council on Aging, dba: NassauTRANSIT","Fernandina Beach","FL","41114","Private-Non-Profit Corporation","Reduced Reporter","2024","29608","Fernandina Beach--Yulee, FL","50805","18","7309",,,,,,,,"91844",,"0",,"99153",
"Transylvania County","Brevard","NC","41115","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","3819",,,,,,,,"340",,,,"4159",
"Birmingham Regional Paratransit Consortium, dba: ClasTran","Birmingham","AL","41118","Private-Non-Profit Corporation","Reduced Reporter","2024","07786","Birmingham, AL","774956","27","359844",,,,,,,,"25542",,,,"385386",
"Harnett County","Lillington","NC","41119","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","10290",,,,,,,,"629657",,,,"639947",
"City of Frankfort, dba: Frankfort Public Transit","Frankfort","KY","41120","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"24","34941",,,,,,,,,,,,"34941",
"City of Natchez","Natchez","MS","41121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","35107",,,,,,,,"46725",,"0",,"81832",
"Lawrence County Aging-Rural Transit System, dba: Lawrence County Commission","Moulton","AL","41123","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","11732",,,,,,,,"0",,"0",,"11732",
"Richmond Interagency Transportation Inc., dba: Area of Richmond Transit","Hamlet","NC","41124","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","8981",,,,,,,,"367008",,,,"375989",
