"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_fund","income_tax","sales_tax","property_tax","fuel_tax","other_taxes","tolls","other_funds","reduced_reporter_funds","total"
"Transit Management of Central Maryland, Inc., dba: Regional Transportation Agency of Central Maryland","Ellicott City","MD","30205","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","04843","Baltimore, MD","2212038","64","12774928","0","0","0","0","0","0","0","0","12774928"
"Susquehanna Regional Transportation Authority, dba: rabbittransit","Harrisburg","PA","30206","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","37081","Harrisburg, PA","490859","336","2069201","0","0","0","0","0","0","0","0","2069201"
"RIVER VALLEY TRANSIT AUTHORITY, dba: River Valley Transit","Williamsport","PA","30207","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","95455","Williamsport, PA","55344","31","494285","0","0","0","0","0","0","40569","0","534854"
"City of Weirton, dba: Weirton Transit","Weirton","WV","30209","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","84859","Steubenville--Weirton, OH--WV--PA","64981","13","0","0","0","0","0","0","0","0","305077","305077"
"Delmarva Community Services Inc.","Cambridge","MD","30571","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"39","0","0","0","0","0","0","0","0","486326","486326"
"Central Shenandoah Planning District Commission, dba: BRITE Bus","Staunton","VA","30989","MPO, COG or Other Planning Agency","Reduced Reporter","2024","84630","Staunton--Waynesboro, VA","59065","22","0","0","0","0","0","0","0","0","280993","280993"
"Airport Corridor Transportation Association","Pittsburgh","PA","30990","Private-Non-Profit Corporation","Reduced Reporter","2024","69697","Pittsburgh, PA","1745039","2","0","0","0","0","0","0","0","0","86892","86892"
"County of Greensville, dba: Greensville Emporia Transit","Emporia","VA","31025","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","64219","64219"
"Allied Coordinated Transportation Services, Inc.","New Castle","PA","31028","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","0","0","0","0","0","0","0","0","0","0"
"Blair Senior Services, Inc.","Altoona","PA","31029","Area Agency on Aging","Reduced Reporter","2024","01792","Altoona, PA","74426","24","0","0","0","0","0","0","0","0","0","0"
"Call-A-Ride Service, Inc.","Lewistown","PA","31031","Area Agency on Aging","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","0","0"
"Clarion County, dba: Clarion County Transportation","Shippenville","PA","31032","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","0","0"
"Forest County","Tionesta","PA","31034","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","0","0"
"Wayne County, dba: Wayne County Transportation System","Honesdale","PA","31035","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"35","0","0","0","0","0","0","0","0","0","0"
"STEP, Inc.","Williamsport","PA","31036","Private-Non-Profit Corporation","Full Reporter","2024","95455","Williamsport, PA","55344","31","0","0","0","0","0","0","0","0","0","0"
"Pike County","Hawley","PA","31038","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","659548","659548"
"Huntingdon-Bedford-Fulton Area Agency on Aging, dba: CART Senior Transportation","Bedford","PA","31039","Area Agency on Aging","Rural Reporter","2024",,,,"30","0","0","0","0","0","0","0","0","2944","2944"
"Greene County - PA","Waynesburg","PA","31040","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","121369","121369"
"County of Butler, dba: Butler Area Rural Transit","Butler","PA","31041","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","0","0"
"Centre County","Bellefonte","PA","31042","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","84493","State College, PA","83674","23","0","0","0","0","0","0","0","0","536843","536843"
"Somerset County, dba: Somerset County Transportation System","Somerset","PA","31044","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","0","0","0","0","0","0","0","0","0","0"
"Susquehanna County, dba: Susquehanna-Wyoming County Transportation","Montrose","PA","31045","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","0","0","0","0","0","0","0","0","0","0"
"Chattanooga Area Regional Transportation Authority","Chattanooga","TN","40001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","15832","Chattanooga, TN--GA","398569","76","6154455","0","0","0","0","0","0","0","0","6154455"
"City of Knoxville, dba: Knoxville Area Transit","Knoxville","TN","40002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","45640","Knoxville, TN","597257","64","13271216","0","0","0","0","0","0","0","0","13271216"
"City of Memphis, dba: Memphis Area Transit Authority","Memphis","TN","40003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","56116","Memphis, TN--MS--AR","1056190","135","33782660","0","0","0","0","0","0","0","0","33782660"
"Metropolitan Transit Authority, dba: WeGo Public Transit","Madison","TN","40004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","61273","Nashville-Davidson, TN","1158642","286","93256920","0","0","0","0","0","0","0","0","93256920"
"City of Asheville, dba: ART (Asheville Rides Transit)","Asheville","NC","40005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03358","Asheville, NC","285776","19","8401068","0","0","0","0","0","0","407439","0","8808507"
"Cape Fear Public Transportation Authority, dba: Wave Transit","Wilmington","NC","40006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","95833","Wilmington, NC","255329","44","2133236","0","0","0","0","0","0","0","0","2133236"
"City of Raleigh, dba: GoRaleigh","Raleigh","NC","40007","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","73261","Raleigh, NC","1106646","264","35196889","0","14554117","0","0","0","0","0","0","49751006"
"City of Charlotte North Carolina","Charlotte","NC","40008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","15670","Charlotte, NC--SC","1379873","287","30518908","0","155805413","0","0","0","0","0","0","186324321"
"City of Fayetteville, dba: Fayetteville Area System of Transit","Fayetteville","NC","40009","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","29440","Fayetteville, NC","325008","36","9997978","0","0","0","0","536262","0","0","0","10534240"
"City of Gastonia, dba: Gastonia Transit","Gastonia","NC","40010","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32653","Gastonia, NC","176897","9","0","0","0","0","0","0","0","0","1109881","1109881"
"City of High Point, dba: High Point Transit System","High Point","NC","40011","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","38809","High Point, NC","167830","16","0","0","0","0","0","0","0","0","1491120","1491120"
"City of Winston Salem, dba: Winston-Salem Transit Authority","Winston Salem","NC","40012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","96670","Winston-Salem, NC","420924","60","72000","0","0","13073361","0","306619","0","0","0","13451980"
"Ms Coast Transportation Authority, dba: COAST TRANSIT AUTHORITY","Gulfport","MS","40014","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","35920","Gulfport--Biloxi, MS","236344","69","1583443","0","0","0","0","0","0","1233900","0","2817343"
"City of Jackson, MS","Jackson","MS","40015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","42211","Jackson, MS","347693","31","9830020","0","0","0","0","0","0","0","0","9830020"
"City of Ashland, dba: Ashland Bus System","Ashland","KY","40016","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","40753","Huntington, WV--KY--OH","200157","11","0","0","0","0","0","0","0","0","771405","771405"
"Lexington Transit Authority, dba: Lextran","Lexington","KY","40017","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","49582","Lexington-Fayette, KY","315631","106","0","0","0","0","0","0","0","0","0","0"
"Transit Authority of River City","Louisville","KY","40018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","51755","Louisville/Jefferson County, KY--IN","974397","270","1354652","62616384","0","0","0","0","0","0","0","63971036"
"Transit Authority of Northern Kentucky","Covington","KY","40019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","16885","Cincinnati, OH--KY","1686744","116","19040973","0","0","0","0","0","0","0","0","19040973"
"City of Owensboro, dba: Owensboro Transit Systems","Owensboro","KY","40020","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","66484","Owensboro, KY","76433","9","0","0","0","0","0","0","0","0","942441","942441"
"City of Albany, dba: Albany Transit System","Albany","GA","40021","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","00901","Albany, GA","85960","13","1230647","0","0","0","0","0","0","0","0","1230647"
"Metropolitan Atlanta Rapid Transit Authority","Atlanta","GA","40022","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","03817","Atlanta, GA","5100112","773","0","0","171116","0","0","33302554","0","0","0","33473670"
"Augusta Richmond County Transit Department, dba: Augusta Transit","Augusta","GA","40023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","19","2103517","0","0","0","0","0","0","0","0","2103517"
"Columbus Consolidated Government, dba: METRA","Columbus","GA","40024","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19099","Columbus, GA--AL","267746","24","0","0","0","0","0","0","0","0","5547855","5547855"
"Chatham Area Transit Authority","Savannah","GA","40025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79768","Savannah, GA","309466","54","8553489","0","3619857","15084061","0","0","0","0","0","27257407"
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit","Sarasota","FL","40026","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","09536","Bradenton--Sarasota--Venice, FL","779075","57","8954651","0","0","0","139812","0","0","0","0","9094463"
"Pinellas Suncoast Transit Authority","Saint Petersburg","FL","40027","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","86599","Tampa--St. Petersburg, FL","2783045","504","1801516","0","0","0","0","0","0","0","0","1801516"
"Lee County, dba: LeeTran","Fort Myers","FL","40028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","13510","Cape Coral, FL","599242","85","19588471","0","0","0","913003","0","0","0","0","20501474"
"Broward County Board of County Commissioners, dba: Broward County Transit Division","Fort Lauderdale","FL","40029","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","568","8874696","0","138005917","0","35000000","0","0","0","0","181880613"
