"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","income_tax","sales_tax","property_tax","fuel_tax","other_tax","tolls","other_funds","total"
"Glascock County","Gibson","GA","41074","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"St. Clair County Commission, dba: St. Clair County Public Transportation","Ashville","AL","41076","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Taylor County","Butler","GA","41077","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Morgan County","Madison","GA","41078","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Marion County Senior Services, dba: Marion Transit","Ocala","FL","41080","Private-Non-Profit Corporation","Reduced Reporter","2024","64567","Ocala, FL","182647","30",,,,,,,,
"Transp. Administration of Cleveland County. Inc","Shelby","NC","41082","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"18",,,,,,,,
"City of Glasgow, dba: Glasgow Transit System","Glasgow","KY","41083","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Alabama Tombigbee Regional Planning Commission","Camden","AL","41084","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"15",,,,,,,,
"Haralson County","Buchanan","GA","41085","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Catoosa County, dba: Trans-Aid","Ringgold","GA","41086","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15832","Chattanooga, TN--GA","398569","8",,,,,,,,
"Forsyth County Board of Commissioners, dba: Access Forsyth","Cumming","GA","41088","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","13",,,,,,,,
"City of Eufaula, dba: Eufaula Barbour Transit Authority","Eufaula","AL","41089","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Louisville WHEELS Transportation, Inc","Louisville","KY","41090","Private-Non-Profit Corporation","Reduced Reporter","2024","51755","Louisville/Jefferson County, KY--IN","974397","22",,,,,,,,
"Calhoun County Senior Citizens Association, Inc.","Blountstown","FL","41091","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14",,,,,,,,
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze","Bluffton","SC","41092","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","08601","Bluffton East--Hilton Head Island, SC","71824","29",,,,,,,,
"Northeast KY Area Development Council","Olive Hill","KY","41094","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28",,,,,,,,
"Florida Department of Transportation","Tallahassee","FL","41095","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"37",,,,,,,,
"Claiborne County Human Resource Agency","Port Gibson","MS","41096","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25",,,,,,,,
"Harlan County Community Action Agency, Inc.","Harlan","KY","41098","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"53",,,,,,,,
"Telfair County","Mcrae Helena","GA","41099","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"City of Gatlinburg","Gatlinburg","TN","41102","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Wheeler County","Alamo","GA","41103","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Talbot County","Talbotton","GA","41104","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Northwest Tennessee Human Resource Agency","Martin","TN","41106","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46",,,,,,,,
"Chilton County Commission, dba: Chilton County Transit","Clanton","AL","41107","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10",,,,,,,,
"Lower Chattahoochee Regional Transit Authority, dba: Pataula Transit","Morris","GA","41108","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17",,,,,,,,
"Albemarle Regional Health Services, dba: Inter-County Public Transportation Authority","Elizabeth City","NC","41111","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16",,,,,,,,
"Coastal Regional Commission, dba: Coastal Regional Coaches","Darien","GA","41112","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"59",,,,,,,,
"Anson County","Wadesboro","NC","41113","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Nassau Council on Aging, dba: NassauTRANSIT","Fernandina Beach","FL","41114","Private-Non-Profit Corporation","Reduced Reporter","2024","29608","Fernandina Beach--Yulee, FL","50805","18",,,,,,,,
"Transylvania County","Brevard","NC","41115","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Birmingham Regional Paratransit Consortium, dba: ClasTran","Birmingham","AL","41118","Private-Non-Profit Corporation","Reduced Reporter","2024","07786","Birmingham, AL","774956","27",,,,,,,,
"Harnett County","Lillington","NC","41119","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14",,,,,,,,
"City of Frankfort, dba: Frankfort Public Transit","Frankfort","KY","41120","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"24",,,,,,,,
"City of Natchez","Natchez","MS","41121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20",,,,,,,,
"Lawrence County Aging-Rural Transit System, dba: Lawrence County Commission","Moulton","AL","41123","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Richmond Interagency Transportation Inc., dba: Area of Richmond Transit","Hamlet","NC","41124","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12",,,,,,,,
"Covington County","Andalusia","AL","41125","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"AppalCart","Boone","NC","41127","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"40",,,,,,,,
"Pike Area Transit System","Troy","AL","41129","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Avery County Transportation Authority","Newland","NC","41130","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Choanoke Public Transportation Authority","Rich Square","NC","41131","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"Coweta County, dba: Coweta Connect","Newnan","GA","41133","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","6",,,,,,,,
"Yadkin Valley Economic Development District, Inc.","Boonville","NC","41134","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"34",,,,,,,,
"City of Pigeon Forge","Pigeon Forge","TN","41136","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"19",,,,,,,,
"Alleghany County","Sparta","NC","41137","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Whitfield County","Dalton","GA","41138","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","22069","Dalton, GA","67830","10",,,,,,,,
"Columbia County Commission","Evans","GA","41139","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Clay County","Fort Gaines","GA","41140","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Wayne County","Jesup","GA","41142","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Yancey County Transportation Authority","Burnsville","NC","41143","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Hart County","Hartwell","GA","41144","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Union County","Blairsville","GA","41145","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Senior Services Incorporated of Chester County, dba: The Connector","Chester","SC","41146","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16",,,,,,,,
"Wakulla Senior Center, Inc., dba: Wakulla Transportation","Crawfordville","FL","41148","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"City of Americus","Americus","GA","41149","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Lee County","Sanford","NC","41150","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"Southwest Human Resource Agency","Henderson","TN","41151","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"41",,,,,,,,
"Big Bend Transit","Tallahassee","FL","41153","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"71",,,,,,,,
"Jackson County, dba: Jackson County Transit","Jefferson","GA","41154","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Social Circle Area Transit","Social Circle","GA","41155","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Wilcox County, dba: Wilcox Transit","Abbeville","GA","41156","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"County of Citrus","Inverness","FL","41157","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","07472","Beverly Hills--Homosassa Springs--Pine Ridge, FL","96729","19",,,,,,,,
"Lumpkin County, dba: Lumpkin County Transit","Dahlonega","GA","41158","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Clay County","Hayesville","NC","41160","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Lenoir County","Kinston","NC","41162","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15",,,,,,,,
"Central Kentucky Community Action Council","Lebanon","KY","41165","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"97",,,,,,,,
"Bladen County","Elizabethtown","NC","41166","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Jackson County","Sylva","NC","41167","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Wilkes County Commission, dba: Wilkes County Transit","Washington","GA","41168","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Baker Council on Aging","Macclenny","FL","41170","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"18",,,,,,,,
"Walker County, dba: Walker Transit","La Fayette","GA","41171","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"Columbus County","Whiteville","NC","41172","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15",,,,,,,,
"Walker County Commission, dba: Walker County Transportation System","Jasper","AL","41173","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"City of Seneca","Seneca","SC","41174","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"0",,,,,,,,
"Crawford County","Roberta","GA","41176","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Southwest Georgia RC","Camilla","GA","41177","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"90",,,,,,,,
"Leslie, Knott, Letcher & Perry Community Action","Hazard","KY","41178","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"53",,,,,,,,
