"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fta_urbanized_area_formula","fta_capital_program_5309","fta_rural_progam_5311","other_fta_funds","other_dot_funds","other_federal_funds","total_federal_funds"
"Mitchell County Transportation Authority","Bakersville","NC","41043","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","115072","10444","0","0","125516"
"Community Development Inc.","Richton","MS","41044","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"27","0","0","1384357","0","0","0","1384357"
"Dare County","Manteo","NC","41045","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","273285","16094","0","0","289379"
"Taliaferro County Board of Commissioners","Crawfordville","GA","41046","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","34061","2346","0","0","36407"
"Kerr Area Transportation Authority, dba: Kerr Area Regional Transportation System","Henderson","NC","41048","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"37","0","0","1534943","0","0","0","1534943"
"Suwannee Valley Transit Authority","Live Oak","FL","41050","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12","0","0","579098","72991","0","0","652089"
"Five County Child Development Program, Inc.","Prentiss","MS","41051","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","423342","0","0","0","423342"
"City of Oxford","Oxford","MS","41052","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"34","0","0","2983003","0","0","0","2983003"
"Murray-Calloway County Transit Authority","Murray","KY","41053","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","130662","0","935809","0","0","0","1066471"
"McDuffie County Commission, dba: Leisure Services","Thomson","GA","41055","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","191533","13456","0","0","204989"
"Dawson County, dba: Dawson Transit","Dawsonville","GA","41057","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","249524","0","0","0","249524"
"Brunswick Transit System Inc.","Shallotte","NC","41058","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","0","0","217074","0","0","0","217074"
"City of Key West, dba: Key West Transit","Key West","FL","41060","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","1458535","0","0","0","1458535"
"Hancock County","Sparta","GA","41062","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","187497","41952","0","0","229449"
"Moore County","Carthage","NC","41064","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","69517","Pinehurst--Southern Pines, NC","50319","9","0","0","382175","0","0","0","382175"
"Twiggs County","Jeffersonville","GA","41065","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","168724","0","0","0","168724"
"Swain County Focal Point on Aging Inc, dba: Swain Public Transit","Bryson City","NC","41066","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","115317","34484","0","0","149801"
"Flagler County, dba: Flagler County Transportation","Bunnell","FL","41068","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","22612","Daytona Beach--Palm Coast--Port Orange, FL","402126","18","0","0","127741","413197","0","0","540938"
"Cherokee County","Murphy","NC","41069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","125978","44200","0","0","170178"
"Glascock County","Gibson","GA","41074","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","54392","0","0","0","54392"
"St. Clair County Commission, dba: St. Clair County Public Transportation","Ashville","AL","41076","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","801267","0","0","0","801267"
"Taylor County","Butler","GA","41077","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","132668","0","0","0","132668"
"Morgan County","Madison","GA","41078","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","501700","73535","0","1633","576868"
"Marion County Senior Services, dba: Marion Transit","Ocala","FL","41080","Private-Non-Profit Corporation","Reduced Reporter","2024","64567","Ocala, FL","182647","30","0","0","926466","594024","0","0","1520490"
"Transp. Administration of Cleveland County. Inc","Shelby","NC","41082","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"18","0","0","712397","0","0","0","712397"
"City of Glasgow, dba: Glasgow Transit System","Glasgow","KY","41083","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","136487","0","0","0","136487"
"Alabama Tombigbee Regional Planning Commission","Camden","AL","41084","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"15","837224","0","821336","0","0","0","1658560"
"Haralson County","Buchanan","GA","41085","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","114387","0","0","0","114387"
"Catoosa County, dba: Trans-Aid","Ringgold","GA","41086","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15832","Chattanooga, TN--GA","398569","8","0","0","350106","0","0","0","350106"
"Forsyth County Board of Commissioners, dba: Access Forsyth","Cumming","GA","41088","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","13","712799","0","71447","0","0","0","784246"
"City of Eufaula, dba: Eufaula Barbour Transit Authority","Eufaula","AL","41089","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","226802","0","0","0","226802"
"Louisville WHEELS Transportation, Inc","Louisville","KY","41090","Private-Non-Profit Corporation","Reduced Reporter","2024","51755","Louisville/Jefferson County, KY--IN","974397","22","0","0","741190","0","0","0","741190"
"Calhoun County Senior Citizens Association, Inc.","Blountstown","FL","41091","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","0","0","403787","64706","0","0","468493"
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze","Bluffton","SC","41092","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","08601","Bluffton East--Hilton Head Island, SC","71824","29","1340980","0","1575919","32805","0","0","2949704"
"Northeast KY Area Development Council","Olive Hill","KY","41094","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","654493","0","784436","0","0","0","1438929"
"Florida Department of Transportation","Tallahassee","FL","41095","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"37","0","0","382562","0","0","0","382562"
"Claiborne County Human Resource Agency","Port Gibson","MS","41096","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25","0","0","1538150","0","0","0","1538150"
"Harlan County Community Action Agency, Inc.","Harlan","KY","41098","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"53","0","0","1421202","0","0","0","1421202"
"Telfair County","Mcrae Helena","GA","41099","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","16292","0","0","0","16292"
"City of Gatlinburg","Gatlinburg","TN","41102","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","164869","0","0","0","164869"
"Wheeler County","Alamo","GA","41103","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","84758","0","0","0","84758"
"Talbot County","Talbotton","GA","41104","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","301165","0","0","0","301165"
"Northwest Tennessee Human Resource Agency","Martin","TN","41106","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","596045","0","3115221","0","0","0","3711266"
"Chilton County Commission, dba: Chilton County Transit","Clanton","AL","41107","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","346562","0","0","0","346562"
"Lower Chattahoochee Regional Transit Authority, dba: Pataula Transit","Morris","GA","41108","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","0","0","1120908","23466","0","0","1144374"
"Albemarle Regional Health Services, dba: Inter-County Public Transportation Authority","Elizabeth City","NC","41111","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0","0","920134","113884","0","0","1034018"
"Coastal Regional Commission, dba: Coastal Regional Coaches","Darien","GA","41112","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"59","0","0","2436479","529049","0","0","2965528"
"Anson County","Wadesboro","NC","41113","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","2020549","0","225432","0","0","0","2245981"
"Nassau Council on Aging, dba: NassauTRANSIT","Fernandina Beach","FL","41114","Private-Non-Profit Corporation","Reduced Reporter","2024","29608","Fernandina Beach--Yulee, FL","50805","18","0","0","378077","0","0","0","378077"
"Transylvania County","Brevard","NC","41115","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","167306","28874","0","0","196180"
"Birmingham Regional Paratransit Consortium, dba: ClasTran","Birmingham","AL","41118","Private-Non-Profit Corporation","Reduced Reporter","2024","07786","Birmingham, AL","774956","27","0","0","1135793","2026361","49143","0","3211297"
"Harnett County","Lillington","NC","41119","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","315796","47962","0","0","363758"
"City of Frankfort, dba: Frankfort Public Transit","Frankfort","KY","41120","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"24","0","0","6992895","0","0","0","6992895"
"City of Natchez","Natchez","MS","41121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","0","0","1083128","44026","0","0","1127154"
"Lawrence County Aging-Rural Transit System, dba: Lawrence County Commission","Moulton","AL","41123","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","269261","0","0","0","269261"
"Richmond Interagency Transportation Inc., dba: Area of Richmond Transit","Hamlet","NC","41124","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","379628","0","0","0","379628"
"Covington County","Andalusia","AL","41125","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","786029","0","307223","0","0","0","1093252"
"AppalCart","Boone","NC","41127","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"40","0","0","2357315","0","0","0","2357315"
