"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_funds","transportation_funds","reduced_reporter_funds","total","total_questionable"
"Davidson County, dba: Davidson County Transportation","Lexington","NC","40131","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","38809","High Point, NC","167830","19","0","0","396675","396675",
"Goldsboro-Wayne Transportation Authority","Goldsboro","NC","40132","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","33814","Goldsboro, NC","54456","21","0","0","709075","709075",
"Guilford County, dba: Guilford County Transportation & Mobility Services","Greensboro","NC","40133","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35164","Greensboro, NC","338928","21","0","0","416406","416406",
"Municipality of Bayamon","Bayamon","PR","40137","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","17","0","0","0","0",
"Gwinnett County Board of Commissioners, dba: Ride Gwinnett","Lawrenceville","GA","40138","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","77","0","0","0","0",
"Collier County, dba: Collier Area Transit","Naples","FL","40140","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","08974","Bonita Springs--Estero, FL","425675","55","1839556","780178","0","2619734",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","18964","Columbia, SC","590407","99","0","523708","0","523708",
"Town of Cary, dba: GoCary","Cary","NC","40143","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","26","0","0","241523","241523",
"City of Gainesville, dba: Hall Area Transit","Gainesville","GA","40144","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32194","Gainesville, GA","164365","14","0","0","149277","149277",
"Municipality of Manati, dba: Municipio de Manati","Manati","PR","40145","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","0","0","0","0",
"Hernando County Board of County Commissioners, dba: TheBus","Brooksville","FL","40146","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","84024","Spring Hill, FL","169050","10","0","0","767747","767747",
"North Carolina State University","Raleigh","NC","40147","University","Full Reporter","2024","73261","Raleigh, NC","1106646","25","0","0","0","0",
"Municipality of Barceloneta","Barceloneta","PR","40150","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","05040","Barceloneta--Florida--Bajadero, PR","65070","9","0","0","0","0",
"Municipality of Hatillo","Hatillo","PR","40151","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03034","Arecibo, PR","123724","5","0","0","0","0",
"St Johns County, Florida, dba: St Johns County Sunshine Bus Company","Saint Augustine","FL","40155","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","77230","St. Augustine, FL","91786","29","0","0","1304763","1304763",
"Lower Savannah COG","Aiken","SC","40156","MPO, COG or Other Planning Agency","Reduced Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","3","0","0","7101","7101",
"Lake County Board of County Commissioners, dba: LakeXpress","Tavares","FL","40158","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","48799","Leesburg--Eustis--Tavares, FL","151523","42","2775320","0","0","2775320",
"Regional Transportation Authority, dba: WeGo Public Transit","Madison","TN","40159","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","61273","Nashville-Davidson, TN","1158642","26","0","1325769","0","1325769",
"Municipality of Camuy","Camuy","PR","40160","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03034","Arecibo, PR","123724","10","0","0","0","0",
"Cherokee County Board of Commissioners, dba: Cherokee Area Transit Service (CATS)","Canton","GA","40161","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","21","0","0","53562","53562",
"Franklin Transit Authority, dba: Franklin Transit","Franklin","TN","40162","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","61273","Nashville-Davidson, TN","1158642","14","0","0","352182","352182",
"Municipality of Catano","Catano","PR","40163","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","4","0","0","0","0",
"Municipality of Fajardo","Fajardo","PR","40164","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28981","Fajardo, PR","68587","4","0","0","0","0",
"Municipality of Juncos","Juncos","PR","40165","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","0","0","0","0",
"City of Jacksonville, dba: Jacksonville Transit","Jacksonville","NC","40166","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","42400","Jacksonville, NC","111224","9","0","0","181990","181990",
"City of Concord, dba: Concord Kannapolis Area Transit (Rider)","Concord","NC","40167","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","13","0","0","316678","316678",
"Regional Planning Commission of Greater Birmingham, dba: CommuteSmart","Birmingham","AL","40169","MPO, COG or Other Planning Agency","Full Reporter","2024","07786","Birmingham, AL","774956","18","0","0","0","0",
"Southeast Tennessee Human Resource Agency, dba: Cleveland Urban Area Transit System Division","Dunlap","TN","40170","Other Publicly-Owned or Privately Chartered Corporation","Reduced Reporter","2024","17722","Cleveland, TN","73918","12","0","0","433500","433500",
"Knoxville-Knox County Community Action Committee, dba: Knox County CAC Transit","Knoxville","TN","40171","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","45640","Knoxville, TN","597257","29","976765","0","0","976765",
"Western Piedmont Regional Transit Authority, dba: Greenway Public Transportation","Conover","NC","40172","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","38647","Hickory, NC","201511","46","890559","39932","0","930491",
"Piedmont Authority for Regional Transportation","Greensboro","NC","40173","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","35164","Greensboro, NC","338928","56","916012","199999","0","1116011",
"Municipality of Yauco, dba: Sistema de Transporte Colectivo Yauco","Yauco","PR","40174","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","97561","Yauco, PR","63885","20","0","0","0","0",
"Puerto Rico Maritime Transport Authority","Guaynabo","PR","40175","State Government Unit or Department of Transportation","Full Reporter","2024","79093","San Juan, PR","1844410","11","33537423","11251000","0","44788423",
"Atlanta Regional Commission","Atlanta","GA","40176","MPO, COG or Other Planning Agency","Planning Reporter","2024","03817","Atlanta, GA","5100112","0","300108","0","0","300108",
"The Transportation Management Association Group, dba: The TMA Group","Franklin","TN","40178","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","61273","Nashville-Davidson, TN","1158642","42","0","135099","0","135099",
"University of Georgia, dba: Transportation and Parking Services","Athens","GA","40180","University","Full Reporter","2024","03763","Athens-Clarke County, GA","143213","56","0","0","0","0",
"Henry County, dba: Henry County Transit","Mcdonough","GA","40181","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","30","0","0","0","0",
"Municipality of Toa Baja","Toa Baja","PR","40182","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","0","0","0","0",
"Municipality of San Sebastian","San Sebastian","PR","40183","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00631","Aguadilla--Isabela--San Sebastián, PR","232573","7","0","0","0","0",
"City of Bowling Green, dba: GOBG Transit","Bowling Green","KY","40184","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","09379","Bowling Green, KY","97814","14","0","0","664","664",
"Bay County Transportation Planning Organization, dba: Bayway","Panama City","FL","40185","MPO, COG or Other Planning Agency","Full Reporter","2024","67305","Panama City--Panama City Beach, FL","162060","35","1808146","0","0","1808146",
"City of Murfreesboro, dba: Murfreesboro Transit","Murfreesboro","TN","40186","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","60733","Murfreesboro, TN","177313","6","0","0","1057991","1057991",
"York County Council on Aging, dba: York County Council on Aging, Inc.","Rock Hill","SC","40187","Private-Non-Profit Corporation","Reduced Reporter","2024","75745","Rock Hill, SC","218443","26","0","0","42515","42515",
"Government of the Virgin Islands, dba: Vitran","Charlotte Amalie","VI","40188","State Government Unit or Department of Transportation","Reduced Reporter","2024","00078","Virgin Islands, VI","87146","27","0","0","0","0",
"East Tennessee Human Resource Agency, Inc.","Knoxville","TN","40190","Other Publicly-Owned or Privately Chartered Corporation","Reduced Reporter","2024","59410","Morristown, TN","66539","83","0","0","2363100","2363100",
"Transit Authority of Central Kentucky, dba: TACK","Elizabethtown","KY","40191","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","26750","Elizabethtown--Radcliff, KY","76441","41","0","0","0","0",
"Martin County","Stuart","FL","40192","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71479","Port St. Lucie, FL","437745","11","342661","0","0","342661",
"City of Hinesville, Georgia, dba: Liberty Transit","Hinesville","GA","40193","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","39133","Hinesville, GA","53107","5","0","0","61707","61707",
"Municipality of Mayaguez","Mayaguez","PR","40194","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","55738","Mayagüez, PR","91583","20","0","0","0","0",
